"id","created_at","name","has_test","alternate_url"
"69182443","2022-09-14T13:17:54+0300","Data Scientist (команда Поиска)",false,"https://hh.ru/vacancy/69182443"
"69724262","2022-09-15T15:51:54+0300","Data scientist",false,"https://hh.ru/vacancy/69724262"
"69647954","2022-09-15T09:47:19+0300","Аналитик данных / Data Analyst",true,"https://hh.ru/vacancy/69647954"
"69500080","2022-09-14T13:17:59+0300","Senior Data Scientist в b2c направление",false,"https://hh.ru/vacancy/69500080"
"69882858","2022-09-16T09:53:52+0300","Data Science Engineer",false,"https://hh.ru/vacancy/69882858"
"69081304","2022-09-16T12:33:52+0300","Data Analyst",false,"https://hh.ru/vacancy/69081304"
"69651789","2022-09-15T09:38:00+0300","Data Scientist",false,"https://hh.ru/vacancy/69651789"
"68380428","2022-09-15T12:22:11+0300","Data Analyst",false,"https://hh.ru/vacancy/68380428"
"69856866","2022-09-15T13:55:34+0300","Data Scientist / ML-инженер",false,"https://hh.ru/vacancy/69856866"
"69813867","2022-09-14T15:12:13+0300","Старший математик \ Senior Data scientist",false,"https://hh.ru/vacancy/69813867"
"69712595","2022-09-12T13:07:34+0300","Team lead Data Scientist",false,"https://hh.ru/vacancy/69712595"
"68958894","2022-09-15T10:57:11+0300","Data Scientist в Сбер",false,"https://hh.ru/vacancy/68958894"
"69809085","2022-09-14T13:49:21+0300","Специалист по Data Science",false,"https://hh.ru/vacancy/69809085"
"69140213","2022-09-13T18:13:58+0300","Data analyst",false,"https://hh.ru/vacancy/69140213"
"69809084","2022-09-14T13:49:21+0300","Специалист по Data Science",false,"https://hh.ru/vacancy/69809084"
"69665417","2022-09-12T13:24:20+0300","Data Science Team Lead (Ranking & Navigation)",false,"https://hh.ru/vacancy/69665417"
"69713433","2022-09-12T13:20:00+0300","Middle Data Scientist",false,"https://hh.ru/vacancy/69713433"
"69694041","2022-09-12T08:50:05+0300","Data scientist",false,"https://hh.ru/vacancy/69694041"
"69775217","2022-09-13T17:31:20+0300","Data engineer в МТС Маркетолог (Big Data)",false,"https://hh.ru/vacancy/69775217"
"69809086","2022-09-14T13:49:21+0300","Специалист по Data Science",false,"https://hh.ru/vacancy/69809086"
